team_id,as_of,rating,fifa_rank,source,fifa_points
CZE,2026-04-01,1501.3824,41,Official FIFA/Coca-Cola Men's World Ranking,1501.3824
ECU,2026-04-01,1594.78386,23,Official FIFA/Coca-Cola Men's World Ranking,1594.78386
EGY,2026-04-01,1563.241764,29,Official FIFA/Coca-Cola Men's World Ranking,1563.241764
ENG,2026-04-01,1825.965482,4,Official FIFA/Coca-Cola Men's World Ranking,1825.965482
ESP,2026-04-01,1876.395199,2,Official FIFA/Coca-Cola Men's World Ranking,1876.395199
FRA,2026-04-01,1877.322731,1,Official FIFA/Coca-Cola Men's World Ranking,1877.322731
GER,2026-04-01,1730.37136,10,Official FIFA/Coca-Cola Men's World Ranking,1730.37136
GHA,2026-04-01,1346.311722,74,Official FIFA/Coca-Cola Men's World Ranking,1346.311722
HAI,2026-04-01,1291.711814,83,Official FIFA/Coca-Cola Men's World Ranking,1291.711814
IRN,2026-04-01,1615.300338,21,Official FIFA/Coca-Cola Men's World Ranking,1615.300338
IRQ,2026-04-01,1447.135319,57,Official FIFA/Coca-Cola Men's World Ranking,1447.135319
JOR,2026-04-01,1391.4544,63,Official FIFA/Coca-Cola Men's World Ranking,1391.4544
JPN,2026-04-01,1660.427891,18,Official FIFA/Coca-Cola Men's World Ranking,1660.427891
KOR,2026-04-01,1588.663904,25,Official FIFA/Coca-Cola Men's World Ranking,1588.663904
KSA,2026-04-01,1421.427596,61,Official FIFA/Coca-Cola Men's World Ranking,1421.427596
MAR,2026-04-01,1755.86841,8,Official FIFA/Coca-Cola Men's World Ranking,1755.86841
MEX,2026-04-01,1681.028247,15,Official FIFA/Coca-Cola Men's World Ranking,1681.028247
NED,2026-04-01,1757.874428,7,Official FIFA/Coca-Cola Men's World Ranking,1757.874428
NOR,2026-04-01,1550.943159,31,Official FIFA/Coca-Cola Men's World Ranking,1550.943159
NZL,2026-04-01,1281.566939,85,Official FIFA/Coca-Cola Men's World Ranking,1281.566939
PAN,2026-04-01,1540.644228,33,Official FIFA/Coca-Cola Men's World Ranking,1540.644228
PAR,2026-04-01,1503.503339,40,Official FIFA/Coca-Cola Men's World Ranking,1503.503339
POR,2026-04-01,1763.834406,5,Official FIFA/Coca-Cola Men's World Ranking,1763.834406
QAT,2026-04-01,1454.958587,55,Official FIFA/Coca-Cola Men's World Ranking,1454.958587
RSA,2026-04-01,1429.728396,60,Official FIFA/Coca-Cola Men's World Ranking,1429.728396
SCO,2026-04-01,1498.350389,43,Official FIFA/Coca-Cola Men's World Ranking,1498.350389
SEN,2026-04-01,1688.988837,14,Official FIFA/Coca-Cola Men's World Ranking,1688.988837
SUI,2026-04-01,1649.39683,19,Official FIFA/Coca-Cola Men's World Ranking,1649.39683
SWE,2026-04-01,1514.767421,38,Official FIFA/Coca-Cola Men's World Ranking,1514.767421
TUN,2026-04-01,1483.051871,44,Official FIFA/Coca-Cola Men's World Ranking,1483.051871
TUR,2026-04-01,1599.03767,22,Official FIFA/Coca-Cola Men's World Ranking,1599.03767
URU,2026-04-01,1673.068603,17,Official FIFA/Coca-Cola Men's World Ranking,1673.068603
USA,2026-04-01,1673.126608,16,Official FIFA/Coca-Cola Men's World Ranking,1673.126608
UZB,2026-04-01,1465.342534,50,Official FIFA/Coca-Cola Men's World Ranking,1465.342534
